freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,201461Z0,"Acyclic aldehydes without other oxygen function (excluding methanal, ethanal)",770859425,2019,KG,67916632,2019,KG,37351993,2019,KG
A,EU27_2020,20146211,Acetone,1274691518,2019,KG,263028233,2019,KG,117031494,2019,KG
A,EU27_2020,20146213,Butanone (methyl ethyl ketone),108808558,2019,KG,53067474,2019,KG,63916138,2019,KG
A,EU27_2020,20146215,4-Methylpentan-2-one (methyl isobutyl ketone),24000000,2019,KG,3847546,2019,KG,27075759,2019,KG
A,EU27_2020,20146219,"Acyclic ketones; without other oxygen function (excluding acetone, butanone (methyl ethyl ketone), 4-methylpentan-2-one (methyl isobutyl ketone))",32265995,2019,KG,7442776,2019,KG,11857283,2019,KG
A,EU27_2020,20146231,Camphor; aromatic ketones without other oxygen function; ketone-alcohols; ketone-aldehydes; ketone-phenols and ketones with other oxygen function,65005138,2019,KG,: ,2019,KG,: ,2019,KG
A,EU27_2020,20146233,Cyclohexanone and methylcyclohexanones,77807795,2019,KG,24022202,2019,KG,16459580,2019,KG
A,EU27_2020,20146235,Ionones and methylionones,4000000,2019,KG,4654998,2019,KG,1541341,2019,KG
A,EU27_2020,20146239,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function (excluding camphor, cyclohexanone and methylcyclohexanones, ionones and methylionones)",41680000,2019,KG,: ,2019,KG,: ,2019,KG
A,EU27_2020,20146260,Quinones,2550680,2019,KG,883195,2019,KG,1240922,2019,KG
A,EU27_2020,20146270,Halogenated; sulphonated; nitrated or nitrosated derivatives of ketones and quinones,4136132,2019,KG,5259780,2019,KG,3460959,2019,KG
A,EU27_2020,201462Z0,"Aromatic ketones without other oxygen function; ketone-alcohols and ketone-aldehydes; ketone-phenols and ketones with other oxygen function; other cyclanic, cyclenic or cycloterpenic ketones without other oxygen function",100000000,2019,KG,63502890,2019,KG,33694804,2019,KG
A,EU27_2020,20146310,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",2016174630,2019,KG,368237627,2019,KG,332628698,2019,KG
A,EU27_2020,20146323,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",16000000,2019,KG,444695,2019,KG,496484,2019,KG
A,EU27_2020,20146325,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",30000000,2019,KG,7794635,2019,KG,13658058,2019,KG
A,EU27_2020,20146333,"2,2-Oxydiethanol (diethylene glycol; digol)",93200592,2019,KG,32809279,2019,KG,285163739,2019,KG
A,EU27_2020,20146339,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding 2,2-Oxydiethanol)",527309190,2019,KG,250973926,2019,KG,97790479,2019,KG
A,EU27_2020,20146350,"Ether-phenols; ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",9088154,2019,KG,4912629,2019,KG,3519761,2019,KG
A,EU27_2020,20146360,"Alcohol, ether and ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",32000000,2019,KG,20747621,2019,KG,13622476,2019,KG
A,EU27_2020,20146361,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20146373,Oxirane (ethylene oxide),940841433,2019,KG,26543405,2019,KG,17281252,2019,KG
A,EU27_2020,20146375,Methyloxirane (propylene oxide),1641804660,2019,KG,29173221,2019,KG,70967677,2019,KG
A,EU27_2020,20146379,"Epoxides, epoxyalcohols, -phenols, epoxyethers, with a 3-membered ring and their halogenated, sulphonated, nitrated/nitrosated derivatives excluding oxirane, methyloxirane (propylene oxide)",149259605,2019,KG,51009710,2019,KG,35148316,2019,KG
A,EU27_2020,20146380,Acetals and hemiacetals and their halogenated; sulphonated; nitrated or nitrosated derivatives,16792979,2019,KG,3535262,2019,KG,987930,2019,KG
A,EU27_2020,20146381,Acetals and hemiacetals and their halogenated; sulphonated; nitrated or nitrosated derivatives,: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20146430,"Other organic compounds, n.e.c.",561860613,2019,KG,3663448,2019,KG,3583960,2019,KG
A,EU27_2020,20146450,Rennet and concentrates thereof,14027000,2019,KG,3950743,2019,KG,719190,2019,KG
